elevation,dist_to_water,dist_to_clyde,building_count,road_count,mean_annual_mm_day,mean_winter_mm_day,wet_days_per_year,max_daily_mm,flood_risk,easting,northing
27,367.2230658999362,1132.8424761901747,238,197,2.9601,3.4095,166.3,39.458,1,256383,666906
24,76.9964740728489,2177.118012853384,89,14,2.8455,3.3141,163.7,37.886,1,256483,662906
26,68.65081360295288,2083.5374354529617,82,11,2.8455,3.3141,163.7,37.886,1,256483,663006
24,138.50343807151154,1990.248320543977,81,7,2.8455,3.3141,163.7,37.886,1,256483,663106
26,221.55477655048483,1897.230099980355,87,7,2.8455,3.3141,163.7,37.886,1,256483,663206
29,313.5221987372612,1804.6744714440715,93,5,2.8455,3.3141,163.7,37.886,1,256483,663306
39,409.1857787252748,1712.5806305618928,93,5,2.8455,3.3141,163.7,37.886,0,256483,663406
38,506.45629195677674,1620.9175535439524,94,6,2.8455,3.3141,163.7,37.886,0,256483,663506
40,604.6180197564461,1529.4397997557703,110,9,2.8455,3.3141,163.7,37.886,0,256483,663606
24,703.2978913417872,1437.9601011288205,126,20,2.8455,3.3141,163.7,37.886,1,256483,663706
21,802.3047414277213,1346.4802787278677,119,29,2.8455,3.3141,163.7,37.886,1,256483,663806
20,835.955498215931,1255.000456326915,98,33,2.8455,3.3141,163.7,37.886,1,256483,663906
11,741.982994041178,1163.5244136762694,74,53,2.8455,3.3141,163.7,37.886,2,256483,664006
10,649.8122281822466,1072.3051442838864,36,59,2.8455,3.3141,163.7,37.886,2,256483,664106
9,560.3330262835144,981.0956219887656,17,59,2.8455,3.3141,163.7,37.886,2,256483,664206
13,467.62698230739767,889.8860996936444,17,48,2.8455,3.3141,163.7,37.886,2,256483,664306
13,371.6585717045287,798.6765773985232,34,49,2.8455,3.3141,163.7,37.886,2,256483,664406
10,278.5411877280941,707.7706902648509,44,41,2.8455,3.3141,163.7,37.886,2,256483,664506
10,191.3323320620059,616.2977556077095,41,45,2.8455,3.3141,163.7,37.886,2,256483,664606
10,96.53315626755344,524.5629364209643,43,62,2.8455,3.3141,163.7,37.886,2,256483,664706
11,8.52413350509574,432.0880064944993,35,88,2.8455,3.3141,163.7,37.886,2,256483,664806
8,94.72602474314655,337.95433435949116,27,104,2.8455,3.3141,163.7,37.886,2,256483,664906
4,194.1357727900307,244.6178317495784,22,116,2.9601,3.4095,166.3,39.458,0,256483,665006
7,151.455096955839,151.455096955839,18,101,2.9601,3.4095,166.3,39.458,0,256483,665106
12,58.29482428971365,58.29482428971365,7,63,2.9601,3.4095,166.3,39.458,2,256483,665206
2,0.0,0.0,5,58,2.9601,3.4095,166.3,39.458,0,256483,665306
3,0.0,0.0,7,68,2.9601,3.4095,166.3,39.458,2,256483,665406
3,79.72189340265989,79.72189340265989,9,85,2.9601,3.4095,166.3,39.458,0,256483,665506
6,131.9799077629061,131.9799077629061,16,90,2.9601,3.4095,166.3,39.458,0,256483,665606
10,166.5279497530073,166.5279497530073,40,107,2.9601,3.4095,166.3,39.458,2,256483,665706
13,219.52257250934383,219.52257250934383,58,126,2.9601,3.4095,166.3,39.458,2,256483,665806
23,297.73941901149084,297.73941901149084,106,105,2.9601,3.4095,166.3,39.458,1,256483,665906
31,337.4720127320921,385.7969877311028,133,98,2.9601,3.4095,166.3,39.458,1,256483,666006
32,249.95659166513337,474.2819380041986,153,85,2.9601,3.4095,166.3,39.458,1,256483,666106
26,175.29793097405457,562.3256297822394,136,79,2.9601,3.4095,166.3,39.458,1,256483,666206
23,82.22410728072984,650.3693215602802,116,107,2.9601,3.4095,166.3,39.458,1,256483,666306
9,0.0,738.4130133383211,53,128,2.9601,3.4095,166.3,39.458,2,256483,666406
21,75.12601594275802,826.456705116362,39,137,2.9601,3.4095,166.3,39.458,1,256483,666506
26,167.3523616528314,914.5003968944028,70,152,2.9601,3.4095,166.3,39.458,1,256483,666606
25,261.92828596422805,1002.5443098504842,121,171,2.9601,3.4095,166.3,39.458,1,256483,666706
26,292.6104440380655,1089.8342251779195,164,173,2.9601,3.4095,166.3,39.458,1,256483,666806
27,267.437094751274,1177.0591040391748,214,235,2.9601,3.4095,166.3,39.458,1,256483,666906
27,277.97466665391954,1265.993651931976,272,318,2.9601,3.4095,166.3,39.458,1,256483,667006
27,320.65739246692834,1356.2815919133454,321,387,2.9601,3.4095,166.3,39.458,1,256483,667106
22,185.3233612266377,2330.8161706824612,183,25,2.8455,3.3141,163.7,37.886,1,256583,662706
24,90.19660629772874,2236.810682812441,132,24,2.8455,3.3141,163.7,37.886,1,256583,662806
24,12.951977892087855,2142.755816159857,83,31,2.8455,3.3141,163.7,37.886,1,256583,662906
25,0.0,2048.689110322906,62,27,2.8455,3.3141,163.7,37.886,1,256583,663006
25,95.48918812972948,1954.7635443317915,65,16,2.8455,3.3141,163.7,37.886,1,256583,663106
27,195.40511559647857,1861.1067003550263,77,13,2.8455,3.3141,163.7,37.886,1,256583,663206
31,295.3779500112888,1767.633906132746,85,17,2.8455,3.3141,163.7,37.886,1,256583,663306
35,395.3645248431753,1674.403947337422,81,17,2.8455,3.3141,163.7,37.886,1,256583,663406
35,495.35651974721,1581.6941209118909,87,19,2.8455,3.3141,163.7,37.886,1,256583,663506
33,595.3512037509174,1489.3425414402534,94,17,2.8455,3.3141,163.7,37.886,1,256583,663606
23,695.3474167344441,1397.5666398666797,117,23,2.8455,3.3141,163.7,37.886,1,256583,663706
21,795.3445819962961,1306.0884933648174,104,27,2.8455,3.3141,163.7,37.886,1,256583,663806
22,809.305525848034,1214.609342285704,86,38,2.8455,3.3141,163.7,37.886,1,256583,663906
12,711.8234350012847,1123.1295198847508,59,47,2.8455,3.3141,163.7,37.886,2,256583,664006
11,615.1502020367819,1031.649697483798,32,50,2.8455,3.3141,163.7,37.886,2,256583,664106
8,519.7373755222526,940.1698750828452,16,58,2.8455,3.3141,163.7,37.886,2,256583,664206
9,426.4318327278399,848.8882577663452,17,60,2.8455,3.3141,163.7,37.886,2,256583,664306
11,336.98854047651207,757.6787354712241,29,51,2.8455,3.3141,163.7,37.886,2,256583,664406
12,253.3032543792091,666.4692131761029,41,56,2.8455,3.3141,163.7,37.886,2,256583,664506
11,153.68031109620196,575.2596908809819,47,53,2.8455,3.3141,163.7,37.886,2,256583,664606
11,55.432277223225235,484.2808898679067,49,63,2.8455,3.3141,163.7,37.886,2,256583,664706
7,18.977682979510405,392.9903839729379,41,106,2.8455,3.3141,163.7,37.886,0,256583,664806
5,97.3367185779041,301.28471921356964,34,139,2.8455,3.3141,163.7,37.886,2,256583,664906
3,192.90760656780705,209.54990002682447,29,138,2.9601,3.4095,166.3,39.458,2,256583,665006
5,116.1003001051824,116.1003001051824,19,125,2.9601,3.4095,166.3,39.458,0,256583,665106
2,22.070832614276373,22.070832614276373,21,95,2.9601,3.4095,166.3,39.458,2,256583,665206
2,0.0,0.0,10,64,2.9601,3.4095,166.3,39.458,0,256583,665306
3,34.10721343954469,34.10721343954469,9,64,2.9601,3.4095,166.3,39.458,2,256583,665406
5,125.59087296085504,125.59087296085504,9,78,2.9601,3.4095,166.3,39.458,0,256583,665506
7,216.24966706176545,216.24966706176545,22,95,2.9601,3.4095,166.3,39.458,0,256583,665606
9,257.8492282128605,257.8492282128605,37,113,2.9601,3.4095,166.3,39.458,2,256583,665706
15,299.6848987736636,299.6848987736636,65,119,2.9601,3.4095,166.3,39.458,2,256583,665806
21,360.92885773398746,360.92885773398746,137,114,2.9601,3.4095,166.3,39.458,1,256583,665906
25,389.6987732680024,436.7244464617718,178,130,2.9601,3.4095,166.3,39.458,1,256583,666006
27,304.61140966329503,520.7560311023973,176,117,2.9601,3.4095,166.3,39.458,1,256583,666106
25,211.93458366110477,609.3547474556191,144,108,2.9601,3.4095,166.3,39.458,1,256583,666206
27,119.47226773076824,697.7856514276724,115,106,2.9601,3.4095,166.3,39.458,1,256583,666306
13,24.47733124176835,785.8293432057133,51,141,2.9601,3.4095,166.3,39.458,2,256583,666406
18,41.303047427532114,873.8730349837541,23,125,2.9601,3.4095,166.3,39.458,1,256583,666506
29,136.40061714780933,961.916726761795,33,155,2.9601,3.4095,166.3,39.458,1,256583,666606
32,232.66013870593665,1049.9604185398357,82,227,2.9601,3.4095,166.3,39.458,1,256583,666706
28,205.57995710927656,1138.0041103178764,146,292,2.9601,3.4095,166.3,39.458,1,256583,666806
30,167.90598312464894,1226.0480896457266,197,313,2.9601,3.4095,166.3,39.458,1,256583,666906
27,184.10407242618027,1312.994646236904,236,336,2.9601,3.4095,166.3,39.458,1,256583,667006
29,243.8145966225899,1400.6014554751546,278,379,2.9601,3.4095,166.3,39.458,1,256583,667106
31,323.9150961934887,1489.5998145254898,297,361,2.9601,3.4095,166.3,39.458,1,256583,667206
37,345.3698539075608,1579.7681593402592,257,336,2.9601,3.4095,166.3,39.458,0,256583,667306
20,384.8964660084592,2488.9037571783083,282,46,2.8455,3.3141,163.7,37.886,1,256683,662506
17,286.3560614464228,2393.5360091502776,226,33,2.8455,3.3141,163.7,37.886,1,256683,662606
21,189.35231265662944,2298.5385510571996,172,24,2.8455,3.3141,163.7,37.886,1,256683,662706
23,98.08892158062186,2203.816891032408,124,36,2.8455,3.3141,163.7,37.886,1,256683,662806
22,39.55386641276309,2109.0411264621057,71,45,2.8455,3.3141,163.7,37.886,1,256683,662906
21,77.53070868383983,2014.6622416779417,42,50,2.8455,3.3141,163.7,37.886,1,256683,663006
26,131.71363993801813,1920.6803566686417,54,36,2.8455,3.3141,163.7,37.886,1,256683,663106
26,216.07383596271583,1826.622570904631,70,25,2.8455,3.3141,163.7,37.886,1,256683,663206
29,309.61782842147664,1732.5762549909382,79,22,2.8455,3.3141,163.7,37.886,1,256683,663306
31,406.1815972706798,1638.7289509643078,86,19,2.8455,3.3141,163.7,37.886,1,256683,663406
29,504.0446607029327,1545.0985888000014,88,19,2.8455,3.3141,163.7,37.886,1,256683,663506
28,602.604124634969,1451.7638742941583,86,28,2.8455,3.3141,163.7,37.886,1,256683,663606
25,701.5714091031789,1358.7216799103587,90,30,2.8455,3.3141,163.7,37.886,1,256683,663706
23,800.7953253578361,1266.200897288071,80,28,2.8455,3.3141,163.7,37.886,1,256683,663806
22,794.436450157519,1174.2508381063326,59,32,2.8455,3.3141,163.7,37.886,1,256683,663906
12,694.8715289805343,1082.7371869738645,42,42,2.8455,3.3141,163.7,37.886,2,256683,664006
10,595.4524416245272,991.2585834425868,22,50,2.8455,3.3141,163.7,37.886,2,256683,664106
11,496.2668422184545,899.7787610416341,17,63,2.8455,3.3141,163.7,37.886,2,256683,664206
13,397.4895560066224,808.2989386406811,22,73,2.8455,3.3141,163.7,37.886,2,256683,664306
13,299.52481630610714,716.8191162397283,34,73,2.8455,3.3141,163.7,37.886,2,256683,664406
11,203.5492177142242,625.4713712488038,41,76,2.8455,3.3141,163.7,37.886,2,256683,664506
10,114.67106209038988,534.2618489536827,52,64,2.8455,3.3141,163.7,37.886,2,256683,664606
12,58.41655238167648,443.05232665856175,58,78,2.8455,3.3141,163.7,37.886,2,256683,664706
8,78.8924619368741,351.84280436344056,51,117,2.8455,3.3141,163.7,37.886,2,256683,664806
1,146.43136085045867,260.69669033917546,42,157,2.8455,3.3141,163.7,37.886,0,256683,664906
7,169.6219869619891,169.6219869619891,40,157,2.9601,3.4095,166.3,39.458,2,256683,665006
6,78.00650200617505,78.00650200617505,21,139,2.9601,3.4095,166.3,39.458,2,256683,665106
4,0.0,0.0,22,101,2.9601,3.4095,166.3,39.458,0,256683,665206
5,0.0,0.0,11,67,2.9601,3.4095,166.3,39.458,0,256683,665306
4,73.25074550820425,73.25074550820425,9,61,2.9601,3.4095,166.3,39.458,0,256683,665406
7,165.8360409343089,165.8360409343089,10,63,2.9601,3.4095,166.3,39.458,2,256683,665506
5,257.45695490317627,257.45695490317627,21,71,2.9601,3.4095,166.3,39.458,2,256683,665606
10,348.9406144244866,348.9406144244866,35,81,2.9601,3.4095,166.3,39.458,2,256683,665706
13,389.1425410628371,389.1425410628371,59,91,2.9601,3.4095,166.3,39.458,2,256683,665806
16,417.49137288475663,438.0531007275509,107,115,2.9601,3.4095,166.3,39.458,1,256683,665906
