elevation,dist_to_water,dist_to_clyde,building_count,road_count,mean_annual_mm_day,mean_winter_mm_day,wet_days_per_year,max_daily_mm,flood_risk,easting,northing
14,539.2083548233605,970.292915794266,20,61,2.94466252016733,3.7152773605236256,166.71794871794873,33.30812711705017,2,256283.0,664306.0
11,448.98633370069604,876.3997228727037,32,54,2.94466252016733,3.7152773605236256,166.71794871794873,33.30812711705017,2,256283.0,664406.0
14,363.91181045504766,783.1145118683067,43,55,2.94466252016733,3.7152773605236256,166.71794871794873,33.30812711705017,2,256283.0,664506.0
13,288.5738791494273,689.9517770745674,49,67,2.94466252016733,3.7152773605236256,166.71794871794873,33.30812711705017,2,256283.0,664606.0
10,231.62239062972083,596.8112950413654,44,64,2.94466252016733,3.7152773605236256,166.71794871794873,33.30812711705017,2,256283.0,664706.0
8,208.47466551281903,504.9981016555006,34,77,2.94466252016733,3.7152773605236256,166.71794871794873,33.30812711705017,2,256283.0,664806.0
6,229.91486244251695,413.59624703930126,31,78,2.94466252016733,3.7152773605236256,166.71794871794873,33.30812711705017,0,256283.0,664906.0
11,285.9080788605912,322.1939208087882,17,88,3.02210749954969,3.7230170070446857,172.71794871794873,32.27312659267654,0,256283.0,665006.0
2,227.05889631716693,227.05889631716693,11,69,3.02210749954969,3.7230170070446857,172.71794871794873,32.27312659267654,0,256283.0,665106.0
5,127.5224712861043,127.5224712861043,8,43,3.02210749954969,3.7230170070446857,172.71794871794873,32.27312659267654,0,256283.0,665206.0
1,27.986046255041693,27.986046255041693,8,30,3.02210749954969,3.7230170070446857,172.71794871794873,32.27312659267654,2,256283.0,665306.0
8,0.0,0.0,9,28,3.02210749954969,3.7230170070446857,172.71794871794873,32.27312659267654,0,256283.0,665406.0
-2,0.0,0.0,7,41,3.02210749954969,3.7230170070446857,172.71794871794873,32.27312659267654,0,256283.0,665506.0
2,0.0,0.0,14,55,3.02210749954969,3.7230170070446857,172.71794871794873,32.27312659267654,2,256283.0,665606.0
5,27.274511157250963,27.274511157250963,20,54,3.02210749954969,3.7230170070446857,172.71794871794873,32.27312659267654,2,256283.0,665706.0
9,115.31820293529178,115.31820293529178,34,76,3.02210749954969,3.7230170070446857,172.71794871794873,32.27312659267654,2,256283.0,665806.0
9,203.3618947133326,203.3618947133326,41,74,3.02210749954969,3.7230170070446857,172.71794871794873,32.27312659267654,2,256283.0,665906.0
27,278.2636424854314,291.40558649137347,73,75,3.02210749954969,3.7230170070446857,172.71794871794873,32.27312659267654,1,256283.0,666006.0
39,178.80499392975727,379.4492782694142,68,75,3.02210749954969,3.7230170070446857,172.71794871794873,32.27312659267654,0,256283.0,666106.0
31,80.42563784271638,467.49297004745506,63,55,3.02210749954969,3.7230170070446857,172.71794871794873,32.27312659267654,1,256283.0,666206.0
10,0.0,555.5367502599997,50,75,3.02210749954969,3.7230170070446857,172.71794871794873,32.27312659267654,2,256283.0,666306.0
10,69.64064168494062,643.5809056701761,86,113,3.02210749954969,3.7230170070446857,172.71794871794873,32.27312659267654,2,256283.0,666406.0
16,159.7944418834299,730.0928222125405,141,141,3.02210749954969,3.7230170070446857,172.71794871794873,32.27312659267654,1,256283.0,666506.0
18,247.56987993891184,818.7823674991038,173,153,3.02210749954969,3.7230170070446857,172.71794871794873,32.27312659267654,1,256283.0,666606.0
20,339.4032332920081,909.4857861222321,208,122,3.02210749954969,3.7230170070446857,172.71794871794873,32.27312659267654,1,256283.0,666706.0
28,208.28133208088704,2027.7527502957878,100,6,2.94466252016733,3.7152773605236256,166.71794871794873,33.30812711705017,1,256383.0,663106.0
31,279.2785303147161,1935.8257722257035,102,1,2.94466252016733,3.7152773605236256,166.71794871794873,33.30812711705017,1,256383.0,663206.0
33,358.8260824640479,1844.2688599349055,99,4,2.94466252016733,3.7152773605236256,166.71794871794873,33.30812711705017,1,256383.0,663306.0
39,445.1441992684946,1752.7906823728902,91,9,2.94466252016733,3.7152773605236256,166.71794871794873,33.30812711705017,0,256383.0,663406.0
39,536.1118641932727,1661.3108599719371,97,12,2.94466252016733,3.7152773605236256,166.71794871794873,33.30812711705017,0,256383.0,663506.0
40,629.7271313599935,1569.8310375709846,110,18,2.94466252016733,3.7152773605236256,166.71794871794873,33.30812711705017,0,256383.0,663606.0
34,725.0493700521274,1478.3512151700315,124,20,2.94466252016733,3.7152773605236256,166.71794871794873,33.30812711705017,1,256383.0,663706.0
20,821.4698972719224,1386.931553096549,125,34,2.94466252016733,3.7152773605236256,166.71794871794873,33.30812711705017,1,256383.0,663806.0
16,873.3085112528836,1295.722030801428,105,50,2.94466252016733,3.7152773605236256,166.71794871794873,33.30812711705017,1,256383.0,663906.0
15,783.4107167668956,1204.5125085063069,70,72,2.94466252016733,3.7152773605236256,166.71794871794873,33.30812711705017,2,256383.0,664006.0
12,687.8862191414712,1113.3029862111857,32,72,2.94466252016733,3.7152773605236256,166.71794871794873,33.30812711705017,2,256383.0,664106.0
11,593.8371408258961,1022.0934639160646,16,58,2.94466252016733,3.7152773605236256,166.71794871794873,33.30812711705017,2,256383.0,664206.0
12,502.09326739541353,931.1390872757995,20,59,2.94466252016733,3.7152773605236256,166.71794871794873,33.30812711705017,2,256383.0,664306.0
13,411.325992549058,839.575972815104,28,51,2.94466252016733,3.7152773605236256,166.71794871794873,33.30812711705017,2,256383.0,664406.0
12,316.2785956797353,747.841153628359,37,48,2.94466252016733,3.7152773605236256,166.71794871794873,33.30812711705017,2,256383.0,664506.0
11,225.55537684529537,654.0953579383153,44,55,2.94466252016733,3.7152773605236256,166.71794871794873,33.30812711705017,2,256383.0,664606.0
10,147.37132001343053,560.4667039809794,39,58,2.94466252016733,3.7152773605236256,166.71794871794873,33.30812711705017,2,256383.0,664706.0
9,108.47660349746961,467.28480441207296,29,73,2.94466252016733,3.7152773605236256,166.71794871794873,33.30812711705017,2,256383.0,664806.0
9,144.68498159674112,374.1220696183335,18,95,2.94466252016733,3.7152773605236256,166.71794871794873,33.30812711705017,0,256383.0,664906.0
0,223.1957201324476,281.62692737876233,11,107,3.02210749954969,3.7230170070446857,172.71794871794873,32.27312659267654,0,256383.0,665006.0
2,190.2254170451274,190.2254170451274,8,88,3.02210749954969,3.7230170070446857,172.71794871794873,32.27312659267654,0,256383.0,665106.0
-2,98.82309081461429,98.82309081461429,6,51,3.02210749954969,3.7230170070446857,172.71794871794873,32.27312659267654,0,256383.0,665206.0
0,7.711917884672746,7.711917884672746,6,36,3.02210749954969,3.7230170070446857,172.71794871794873,32.27312659267654,0,256383.0,665306.0
-2,0.0,0.0,8,44,3.02210749954969,3.7230170070446857,172.71794871794873,32.27312659267654,0,256383.0,665406.0
1,18.70371688390127,18.70371688390127,10,66,3.02210749954969,3.7230170070446857,172.71794871794873,32.27312659267654,2,256383.0,665506.0
5,34.26511993202627,34.26511993202627,14,67,3.02210749954969,3.7230170070446857,172.71794871794873,32.27312659267654,2,256383.0,665606.0
